date,cash_$,invested_$,equity_$,open_positions,deposited_$
2023-02-01,8766.62,7973.27,16739.89,3,5600.0
2023-02-02,15630.53,1862.99,17493.52,1,5600.0
2023-02-03,15630.53,1862.99,17493.52,1,5600.0
2023-02-04,15630.53,1862.99,17493.52,1,5600.0
2023-02-05,15630.53,1862.99,17493.52,1,5600.0
2023-02-06,15630.53,1862.99,17493.52,1,5600.0
2023-02-07,15630.53,1862.99,17493.52,1,5600.0
2023-02-08,15630.53,1862.99,17493.52,1,5600.0
2023-02-09,15630.53,1862.99,17493.52,1,5600.0
2023-02-10,15630.53,1862.99,17493.52,1,5600.0
2023-02-11,15630.53,1862.99,17493.52,1,5600.0
2023-02-12,15630.53,1862.99,17493.52,1,5600.0
2023-02-13,15630.53,1862.99,17493.52,1,5600.0
2023-02-14,15630.53,1862.99,17493.52,1,5600.0
2023-02-15,15630.53,1862.99,17493.52,1,5600.0
2023-02-16,15630.53,1862.99,17493.52,1,5600.0
2023-02-17,15630.53,1862.99,17493.52,1,5600.0
2023-02-18,15630.53,1862.99,17493.52,1,5600.0
2023-02-19,15630.53,1862.99,17493.52,1,5600.0
2023-02-20,15630.53,1862.99,17493.52,1,5600.0
2023-02-21,15630.53,1862.99,17493.52,1,5600.0
2023-02-22,15630.53,1862.99,17493.52,1,5600.0
2023-02-23,15630.53,1862.99,17493.52,1,5600.0
2023-02-24,15630.53,1862.99,17493.52,1,5600.0
2023-02-25,15630.53,1862.99,17493.52,1,5600.0
2023-02-26,15630.53,1862.99,17493.52,1,5600.0
2023-02-27,11257.15,6236.37,17493.52,2,5600.0
2023-02-28,1635.71,15857.81,17493.52,5,5600.0
2023-03-01,3749.0,13994.81,17743.82,4,5800.0
2023-03-02,3749.0,13994.81,17743.82,4,5800.0
2023-03-03,8778.39,9621.44,18399.83,3,5800.0
2023-03-04,8778.39,9621.44,18399.83,3,5800.0
2023-03-05,8778.39,9621.44,18399.83,3,5800.0
2023-03-06,8778.39,9621.44,18399.83,3,5800.0
2023-03-07,8778.39,9621.44,18399.83,3,5800.0
2023-03-08,8778.39,9621.44,18399.83,3,5800.0
2023-03-09,8778.39,9621.44,18399.83,3,5800.0
2023-03-10,8778.39,9621.44,18399.83,3,5800.0
2023-03-11,8778.39,9621.44,18399.83,3,5800.0
2023-03-12,8778.39,9621.44,18399.83,3,5800.0
2023-03-13,8778.39,9621.44,18399.83,3,5800.0
2023-03-14,8778.39,9621.44,18399.83,3,5800.0
2023-03-15,8778.39,9621.44,18399.83,3,5800.0
2023-03-16,8778.39,9621.44,18399.83,3,5800.0
2023-03-17,8778.39,9621.44,18399.83,3,5800.0
2023-03-18,8778.39,9621.44,18399.83,3,5800.0
2023-03-19,8778.39,9621.44,18399.83,3,5800.0
2023-03-20,8778.39,9621.44,18399.83,3,5800.0
2023-03-21,8778.39,9621.44,18399.83,3,5800.0
2023-03-22,8778.39,9621.44,18399.83,3,5800.0
2023-03-23,5098.43,13301.4,18399.83,4,5800.0
2023-03-24,498.47,17901.36,18399.83,5,5800.0
2023-03-25,498.47,17901.36,18399.83,5,5800.0
2023-03-26,498.47,17901.36,18399.83,5,5800.0
2023-03-27,0.0,18399.83,18399.83,6,5800.0
2023-03-28,0.0,18399.83,18399.83,6,5800.0
2023-03-29,0.0,19164.59,19164.59,6,5800.0
2023-03-30,0.0,19164.59,19164.59,6,5800.0
2023-03-31,9417.81,9543.15,18960.97,3,5800.0
2023-04-01,9617.81,9543.15,19160.97,3,6000.0
2023-04-02,9617.81,9543.15,19160.97,3,6000.0
2023-04-03,9617.81,9543.15,19160.97,3,6000.0
2023-04-04,9617.81,9543.15,19160.97,3,6000.0
2023-04-05,9617.81,9543.15,19160.97,3,6000.0
2023-04-06,9617.81,9543.15,19160.97,3,6000.0
2023-04-07,9617.81,9543.15,19160.97,3,6000.0
2023-04-08,9617.81,9543.15,19160.97,3,6000.0
2023-04-09,9617.81,9543.15,19160.97,3,6000.0
2023-04-10,9617.81,9543.15,19160.97,3,6000.0
