ticker,rating,entry_date,exit_date,invested_$,pnl_%,pnl_$,tp_hit,days_held
VCBI,A+,2007-07-31,2007-08-08,3016.74,15.0,452.51,True,8
TGIC,A,2007-07-31,2007-08-14,362.01,-25.0,-90.5,False,14
KMT,B+,2007-07-27,2007-08-27,2051.38,0.25,5.13,False,31
MAR,A,2007-07-30,2007-08-29,2413.39,6.71,161.94,False,30
MAT,B+,2007-08-29,2007-09-19,2247.13,10.0,224.71,True,21
MHO,B+,2007-08-29,2007-09-25,2247.13,-25.0,-561.78,False,27
ACIW,A,2007-08-30,2007-10-01,2643.68,-11.15,-294.77,False,32
FHN,B+,2007-08-31,2007-10-01,2247.13,-9.16,-205.84,False,31
LAD,B+,2007-08-31,2007-10-01,569.22,0.0,0.0,False,31
FAST,B,2007-09-26,2007-10-26,1962.2,-4.21,-82.61,False,30
MTG,A+,2007-10-26,2007-11-13,3174.53,15.0,476.18,True,18
TGIC,A,2007-10-30,2007-11-13,2539.62,10.0,253.96,True,14
KBH,B+,2007-10-30,2007-11-21,2158.68,-25.0,-539.67,False,22
AEA,A,2007-10-31,2007-11-30,1561.17,0.0,0.0,False,30
CNO,A+,2007-08-27,2007-12-26,3264.11,-11.17,-364.6,False,121
HUN,A,2008-09-26,2008-09-30,2944.79,26.42,778.01,True,4
CACH,A,2008-09-29,2008-09-29,2944.79,10.0,294.48,True,0
SBGI,B,2008-09-30,2008-10-08,2369.47,-25.0,-592.37,False,8
CVLT,B+,2008-09-30,2008-10-09,2685.4,-25.0,-671.35,False,9
CCK,B+,2008-09-30,2008-10-10,2685.4,-25.0,-671.35,False,10
CENX,A,2008-10-23,2008-10-24,2812.28,-30.8,-866.18,False,1
AVY,B+,2008-10-24,2008-10-28,2243.19,10.0,224.32,True,4
FUL,B+,2008-10-24,2008-10-28,2243.19,10.0,224.32,True,4
KCI,A+,2008-10-27,2008-10-27,3298.8,15.0,494.82,True,0
MDRX,A,2008-10-27,2008-10-27,2639.04,10.0,263.9,True,0
BSX,B,2008-10-27,2008-10-28,527.81,10.0,52.78,True,1
MCD,B+,2008-10-24,2008-10-29,2243.19,10.0,224.32,True,5
HRB,A,2008-10-28,2008-10-28,2891.07,10.0,289.11,True,0
TDY,A,2008-10-28,2008-10-29,2891.07,10.0,289.11,True,1
TWIN,B+,2008-10-28,2008-10-29,2457.41,10.0,245.74,True,1
WAB,A,2008-10-28,2008-10-29,2891.07,10.0,289.11,True,1
AMD,B+,2008-10-28,2008-10-30,1081.55,10.0,108.15,True,2
GPI,B+,2008-10-29,2008-10-29,2684.77,10.0,268.48,True,0
BSX,A,2008-10-29,2008-10-30,3158.55,10.0,315.85,True,1
LHO,A+,2008-10-29,2008-10-30,3948.19,15.0,592.23,True,1
SLM,B+,2008-10-29,2008-10-30,2684.77,10.41,279.48,True,1
APH,B+,2008-10-29,2008-10-31,2234.93,10.0,223.49,True,2
EXP,B,2008-10-31,2008-10-31,2637.07,10.0,263.71,True,0
EXR,B+,2008-10-31,2008-10-31,2988.67,10.0,298.87,True,0
GPI,A,2008-10-31,2008-10-31,2061.24,10.0,206.12,True,0
PNR,B+,2008-10-30,2008-11-20,2950.68,-25.0,-737.67,False,21
BJRI,B,2008-10-30,2008-11-26,2603.54,10.0,260.35,True,27
GEOY,A,2008-12-19,2008-12-26,3654.36,10.0,365.44,True,7
CDNS,B,2008-12-22,2008-12-31,2740.77,10.0,274.08,True,9
TXT,A,2008-12-30,2008-12-31,3727.45,10.0,372.75,True,1
TKR,A+,2008-10-30,2009-01-02,4339.24,15.0,650.89,True,64
HUN,B+,2008-12-24,2009-01-07,3106.21,10.0,310.62,True,14
CVS,A,2008-12-31,2009-01-30,3856.82,-5.52,-212.9,False,30
RCL,A,2009-02-23,2009-02-24,4086.54,10.0,408.65,True,1
LHO,B,2009-02-24,2009-02-24,3126.2,10.0,312.62,True,0
CLB,B,2009-02-23,2009-02-27,3064.9,10.0,306.49,True,4
CPN,B+,2009-02-25,2009-02-27,3596.17,10.0,359.62,True,2
CPN,A,2009-02-27,2009-02-27,4364.01,10.0,436.4,True,0
LHO,A,2009-02-25,2009-03-03,4230.79,-25.0,-1057.7,False,6
FRME,B,2009-02-25,2009-03-05,3173.09,-25.0,-793.27,False,8
KIM,A,2009-02-27,2009-03-06,2963.17,-25.0,-740.79,False,7
VECO,A,2009-02-25,2009-03-10,4230.79,10.0,423.08,True,12
AKR,A,2009-02-25,2009-03-12,2858.21,10.0,285.82,True,14
NUE,B,2009-03-19,2009-03-23,3086.04,10.0,308.6,True,4
LVS,B+,2009-03-31,2009-04-01,3549.98,10.0,355.0,True,1
BDN,A,2009-03-24,2009-04-02,4176.44,10.0,417.64,True,9
LVB,B,2009-03-30,2009-04-02,3132.33,10.0,313.23,True,3
LQDT,B+,2009-03-31,2009-04-02,2760.98,10.0,276.1,True,2
WPC,B,2009-03-20,2009-04-20,3086.04,-5.74,-177.14,False,31
GIS,A,2009-03-27,2009-04-27,4176.44,0.86,35.92,False,31
CFR,B+,2009-04-27,2009-05-04,3791.5,10.0,379.15,True,7
MANH,B,2009-04-27,2009-05-05,3345.44,10.0,334.54,True,8
SYK,A,2009-04-30,2009-06-01,4460.59,0.2,8.92,False,32
HPQ,B+,2009-05-28,2009-06-12,3946.83,10.0,394.68,True,15
SHLM,B+,2009-05-27,2009-06-15,3946.83,10.23,403.76,True,19
EXC,B+,2009-05-27,2009-06-26,3946.83,6.07,239.57,False,30
WRLD,B+,2009-06-19,2009-06-26,4118.08,10.0,411.81,True,7
STRL,A,2009-06-25,2009-06-25,4844.8,10.0,484.48,True,0
AGO,A,2009-06-25,2009-07-01,4844.8,10.0,484.48,True,6
UCTT,B+,2009-06-30,2009-06-30,4311.18,10.0,431.12,True,0
CW,B,2009-06-25,2009-07-23,3633.6,10.0,363.36,True,28
KR,B,2009-06-26,2009-07-27,3803.98,-4.97,-189.06,False,31
BMTI,B,2009-06-29,2009-07-29,3803.98,-5.81,-221.01,False,30
HEI,B,2009-07-29,2009-08-28,3964.32,-2.61,-103.47,False,30
ORCL,B,2009-07-30,2009-08-31,3964.32,-1.62,-64.22,False,32
RWT,B+,2009-08-31,2009-09-15,4498.38,10.0,449.84,True,15
FNF,B+,2009-08-28,2009-09-28,4509.3,-1.04,-46.9,False,31
HEI,A,2009-10-29,2009-11-30,5452.8,-5.95,-324.44,False,32
EXTR,B,2009-10-30,2009-11-30,4089.6,-2.68,-109.6,False,31
